,rank,seasons,titlesWon,leaguesWon,divsWon1,divsWon2,divsWon3,cupsWon6,cupsWon5,cupsWon4,cupsWon3,cupsWon2,cupsWon1,cupsWon0,totalCupsWon,cupsEntered,cupWinPercent,promotions,relegations,wins,ties,losses,maxDivision,goals,goalsAgainst,averageGoalsPerGame,averageGoalsAgainstPerGame,cleanSheets,starLevel,agreggateRecord,clubName,clubId,currentDivision,rankingPoints,clubInfo,platform
362,7751,31,18,9,2,4,3,2,0,0,0,0,0,0,0,0,0,9,0,185,34,32,10,814,275,3.24,1.10,0,10,185-34-32,XVC BURNLEY FC,14170164,10,7751,"{'name': 'XVC BURNLEY FC', 'clubId': 14170164, 'regionId': 4344147, 'teamId': 1796, 'customKit': {'stadName': ""St. James' Park"", 'kitId': '29425667', 'isCustomTeam': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160302'}}",xboxone
363,7746,205,77,65,5,4,3,0,0,0,0,0,0,0,0,0,0,19,10,1188,237,423,10,5678,3420,3.07,1.85,0,10,1188-237-423,Vanguarda BR,7854319,10,7746,"{'name': 'Vanguarda BR', 'clubId': 7854319, 'regionId': 5456205, 'teamId': 21, 'customKit': {'stadName': 'El Grandioso', 'kitId': '172035', 'isCustomTeam': '0', 'customKitId': '7570', 'customAwayKitId': '7509', 'customKeeperKitId': '5020', 'kitColor1': '1336871', 'kitColor2': '9838384', 'kitColor3': '15921906', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160421'}}",xboxone
364,7741,67,27,17,3,4,3,0,0,0,0,0,0,0,0,0,0,13,4,378,75,139,10,1725,1045,2.91,1.77,0,10,378-75-139,Xg JAME,1706909,10,7741,"{'name': 'Xg JAME', 'clubId': 1706909, 'regionId': 4344147, 'teamId': 243, 'customKit': {'stadName': 'Estadio San Mamés', 'kitId': '3981312', 'isCustomTeam': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160902'}}",xboxone
365,7713,60,17,6,5,3,3,0,0,0,0,0,0,0,0,0,0,17,8,296,89,167,10,1339,976,2.43,1.77,0,10,296-89-167,PollasHermanas,1069999,10,7713,"{'name': 'PollasHermanas', 'clubId': 1069999, 'regionId': 4543827, 'teamId': 110374, 'customKit': {'stadName': 'Waldstadion', 'kitId': '904183808', 'isCustomTeam': '0', 'customKitId': '7629', 'customAwayKitId': '7516', 'customKeeperKitId': '5020', 'kitColor1': '858211', 'kitColor2': '2510903', 'kitColor3': '16774144', 'kitColor4': '1336871', 'kitAColor1': '1259409', 'kitAColor2': '12762028', 'kitAColor3': '16045584', 'kitAColor4': '16045584', 'dCustomKit': '0', 'crestColor': '1611589', 'crestAssetId': '99150606'}}",xboxone
366,7712,69,28,16,6,3,3,1,0,1,0,0,0,0,1,2,50,15,6,366,108,150,10,1678,1025,2.69,1.64,0,10,366-108-150,Omarneta,666104,10,7712,"{'name': 'Omarneta', 'clubId': 666104, 'regionId': 4407629, 'teamId': 114815, 'customKit': {'stadName': 'La Sintética', 'kitId': '940564480', 'isCustomTeam': '0', 'customKitId': '7525', 'customAwayKitId': '7623', 'customKeeperKitId': '5026', 'kitColor1': '858211', 'kitColor2': '14277081', 'kitColor3': '6379598', 'kitColor4': '15921906', 'kitAColor1': '592397', 'kitAColor2': '4133724', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '1987272', 'crestAssetId': '99110415'}}",xboxone
367,7711,75,20,7,7,3,3,2,0,1,1,0,0,0,2,6,33,19,10,373,91,200,10,1841,1346,2.77,2.03,0,10,373-91-200,11 Legends CF,4376664,10,7711,"{'name': '11 Legends CF', 'clubId': 4376664, 'regionId': 4407629, 'teamId': 9, 'customKit': {'stadName': 'Heinz von Heiden-Arena', 'kitId': '73728', 'isCustomTeam': '0', 'customKitId': '7649', 'customAwayKitId': '7649', 'customKeeperKitId': '5014', 'kitColor1': '7719080', 'kitColor2': '13979995', 'kitColor3': '592397', 'kitColor4': '13979995', 'kitAColor1': '592397', 'kitAColor2': '4002593', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99130110'}}",xboxone
368,7696,95,22,8,8,3,3,6,0,0,0,0,0,0,0,0,0,22,13,458,145,266,10,2160,1680,2.49,1.93,0,10,458-145-266,Funtown FC,598759,10,7696,"{'name': 'Funtown FC', 'clubId': 598759, 'regionId': 4407629, 'teamId': 9, 'customKit': {'stadName': 'San Siro', 'kitId': '73729', 'isCustomTeam': '0', 'customKitId': '7510', 'customAwayKitId': '7522', 'customKeeperKitId': '5026', 'kitColor1': '5775459', 'kitColor2': '15921906', 'kitColor3': '15921906', 'kitColor4': '15921906', 'kitAColor1': '15921906', 'kitAColor2': '5775459', 'kitAColor3': '5775459', 'kitAColor4': '5775459', 'dCustomKit': '0', 'crestColor': '9127890', 'crestAssetId': '99040901'}}",xboxone
369,7690,47,14,8,2,3,1,17,0,0,0,0,0,0,0,1,0,12,3,237,78,120,10,856,588,1.97,1.35,0,10,237-78-120,Handis,37999,10,7690,"{'name': 'Handis', 'clubId': 37999, 'regionId': 4344147, 'teamId': 1369, 'customKit': {'stadName': 'Old Trafford', 'kitId': '11214848', 'isCustomTeam': '0', 'customKitId': '7517', 'customAwayKitId': '7524', 'customKeeperKitId': '5004', 'kitColor1': '15921906', 'kitColor2': '16696614', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '1259409', 'kitAColor2': '16696614', 'kitAColor3': '16696614', 'kitAColor4': '16696614', 'dCustomKit': '0', 'crestColor': '1611589', 'crestAssetId': '99020607'}}",xboxone
370,7687,122,44,30,7,4,3,0,0,0,0,0,0,0,0,0,0,18,9,654,190,253,10,2825,1812,2.58,1.65,0,10,654-190-253,On The Fly FC,3493959,10,7687,"{'name': 'On The Fly FC', 'clubId': 3493959, 'regionId': 5723475, 'teamId': 205, 'customKit': {'stadName': 'Signal Iduna Park', 'kitId': '3358720', 'isCustomTeam': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customKeeperKitId': '5013', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160517'}}",xboxone
371,7678,68,13,1,6,4,2,0,0,0,0,0,0,0,0,0,0,22,13,307,100,222,10,1270,1036,2.02,1.65,0,10,307-100-222,Nova geracao es,616309,10,7678,"{'name': 'Nova geracao es', 'clubId': 616309, 'regionId': 5456205, 'teamId': 607, 'customKit': {'stadName': 'Olympiastadion', 'kitId': '4972544', 'isCustomTeam': '0', 'customKitId': '7531', 'customAwayKitId': '7645', 'customKeeperKitId': '5020', 'kitColor1': '1841428', 'kitColor2': '15101200', 'kitColor3': '14935011', 'kitColor4': '1841428', 'kitAColor1': '1841428', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15130831', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99160110'}}",xboxone
